County Name,Four Years Adjusted Cohort Count,Graduated Count,Graduation Rate,HouseHold Size
ATLANTIC,3422,3082,0.900642899,2.7
BERGEN,10446,9920,0.949645797,2.77
BURLINGTON,5549,5178,0.933141107,2.66
CAMDEN,6118,5358,0.875776398,2.65
CAPE MAY,998,875,0.876753507,2.3
CUMBERLAND,1863,1513,0.812130972,2.77
ESSEX,8614,7491,0.869630834,2.76
GLOUCESTER,3808,3553,0.933035714,2.74
HUDSON,5800,4946,0.852758621,2.71
HUNTERDON,1791,1727,0.964265773,2.63
MERCER,4669,4186,0.896551724,2.79
MIDDLESEX,9470,8564,0.904329461,2.84
MONMOUTH,8081,7592,0.939487687,2.63
MORRIS,6385,6050,0.947533281,2.71
OCEAN,5625,5112,0.9088,2.62
PASSAIC,5997,5373,0.895947974,2.99
SALEM,851,743,0.873090482,2.47
SOMERSET,4395,4144,0.942889647,2.88
SUSSEX,1890,1792,0.948148148,2.62
UNION,6901,6100,0.883929865,2.93
WARREN,1406,1313,0.933854908,2.53
